measure,beat,hex,beat_r,hex_r,radius,speed,angle,
1,,,,,0,0,,0
4,,,,,0,0,,0
4,3,,,,0,-300,,-150
,,,,2,0,0,,0
5,,,,,0,-300,,-150
,,,,2,0,0,,0
,,,,2,0,-300,,-150
,,,,2,0,0,,0
,,,,2,0,-300,,-150
,,,,2,0,0,,0
,,,,2,0,-300,,-150
,,,,2,0,0,,0
,,,,2,0,-300,,-150
,,,,2,0,0,,0
,,,,2,0,-300,,-150
,,,,2,0,0,,0
,,,,2,0,-300,,-150
,,,,2,0,0,,0
,,,,2,0,-300,,-150
,,,,2,0,0,,0
,,,,2,0,-300,,-150
,,,,2,0,0,,0
,,,,2,0,-300,,-150
,,,,2,0,0,,0
,,,,2,0,-300,,-150
,,,,2,0,0,,0
,,,,2,0,-300,,-150
,,,,2,0,0,,0
,,,,2,0,-300,,-150
,,,,2,0,0,,0
,,,,2,0,-300,,-150
,,,,2,0,0,,0
,,,,2,0,-300,,-150
,,,,2,0,0,,0
,,,,2,0,0,,0
,,,,2,0,0,,0
9,,,,,1,220,,110
,,,,1,0,0,,0
,,,,3,-1,200,,100
,,,,2,0,0,,0
,,,,2,1,205,,102.5
,,,,2,0,0,,0
,,,,2,-1,200,,100
,,,,2,0,0,,0
,,,,2,1,205,,102.5
,,,,2,0,0,,0
,,,,2,-1,200,,100
,,,,2,0,0,,0
,,,,2,1,205,,102.5
,,,,2,0,0,,0
,,,,2,-1,200,,100
,,,,2,0,0,,0
,,,,2,1,205,,102.5
,,,,2,0,0,,0
,,,,2,-1,200,,100
,,,,2,0,0,,0
,,,,2,1,205,,102.5
,,,,2,0,0,,0
,,,,2,-1,200,,100
,,,,2,0,0,,0
,,,,2,1,205,,102.5
,,,,2,0,0,,0
,,,,2,-1,200,,100
,,,,2,0,0,,0
,,,,2,1,205,,102.5
,,,,2,0,0,,0
,,,,2,-1,200,,100
,,,,2,0,0,,0
,,,,2,1,205,,102.5
,,,,2,0,0,,0
,,,,2,-1,200,,100
,,,,2,0,0,,0
,,,,2,1,205,,102.5
,,,,2,0,0,,0
,,,,2,-1,200,,100
,,,,2,0,0,,0
,,,,2,1,205,,102.5
,,,,2,0,0,,0
,,,,2,-1,200,,100
,,,,2,0,0,,0
,,,,2,1,205,,102.5
,,,,2,0,0,,0
,,,,2,-1,200,,100
